snapshot,source,channel,live_stability,1h,24h,7d,1h_avg_mbps,1h_min_mbps,1h_fail_rate
2026-06-06T22:39,docs/reports/evidence/full_egress_pool_large_capacity_evidence/production_state/egress-quality-summary.json,vless,,0.8655,0.6729,0.6161,50.873,45.133,0.9998
2026-06-06T22:39,docs/reports/evidence/full_egress_pool_large_capacity_evidence/production_state/egress-quality-summary.json,awg0,,0.5081,0.4436,0.4046,51.867,26.887,0.0716
2026-06-06T22:39,docs/reports/evidence/full_egress_pool_large_capacity_evidence/production_state/egress-quality-summary.json,awg3,,0.3104,0.3785,0.3862,47.517,14.813,0.0716
2026-06-06T22:54,docs/reports/evidence/awg3_forced_closure_large_escalation_evidence/production_state_before/egress-quality-summary.json,vless,,0.8822,0.7127,0.6333,52.697,47.135,0.9998
2026-06-06T22:54,docs/reports/evidence/awg3_forced_closure_large_escalation_evidence/production_state_before/egress-quality-summary.json,awg0,,0.5991,0.488,0.4222,50.089,30.133,0.0716
2026-06-06T22:54,docs/reports/evidence/awg3_forced_closure_large_escalation_evidence/production_state_before/egress-quality-summary.json,awg3,,0.5598,0.4614,0.4146,51.633,30.191,0.0716
2026-06-07T12:16,docs/reports/evidence/large_batch_stability_pool_readiness_evidence/phase3_egress_quality_summary.json,vless,,0.691,0.6172,0.6796,36.946,26.029,0.9998
2026-06-07T12:16,docs/reports/evidence/large_batch_stability_pool_readiness_evidence/phase3_egress_quality_summary.json,awg0,,0.5714,0.5889,0.5633,45.687,26.214,0.0716
2026-06-07T12:16,docs/reports/evidence/large_batch_stability_pool_readiness_evidence/phase3_egress_quality_summary.json,awg3,,0.526,0.4994,0.5079,41.671,22.176,0.0716
2026-06-13T07:46,docs/reports/evidence/STABILITY1_CLOSE_EVIDENCE/phase6_fresh_planner.json,vless,0.959,0.4814,0.6688,0.753,41.596,27.47,0.8875
2026-06-13T07:46,docs/reports/evidence/STABILITY1_CLOSE_EVIDENCE/phase6_fresh_planner.json,awg0,0.315,0.2162,0.3186,0.4436,35.875,14.199,0.0716
2026-06-13T07:46,docs/reports/evidence/STABILITY1_CLOSE_EVIDENCE/phase6_fresh_planner.json,awg3,0.183,0.1836,0.387,0.4964,37.137,13.068,0.1335
